id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,booking_date,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,date,day_of_week,day_type_Weekday,day_type_Weekend,Number of Days Booked,Booking Rate,Booking Rate Category
5.47887e+17,Terrace Creekside Condo in Travis Heights w/ Pool - Near Downtown & SoCo,109638288.0,Vacasa Texas,78704,30.23799,-97.74889,Entire home/apt,80.0,30.0,0.0,2022-11-13,1.603915943353132,70.0,276.0,0.0,2022-11-13,6,False,True,89.0,24.383561643835616,Low
5.47956e+17,"Austin KING Bedroom C Laundry, Work by Downtown",433855458.0,Tiffany,78741,30.23178,-97.73902,Entire home/apt,81.0,1.0,45.0,2022-12-03,4.58,3.0,122.0,45.0,2022-12-03,5,False,True,243.0,66.57534246575342,Medium
5.60742e+17,Space for 8 Near Downtown! Easy Walk to UT Campus,207859105.0,Christine - Austin Vacay,78705,30.29161,-97.74714,Entire home/apt,119.0,1.0,39.0,2022-12-05,3.93,13.0,324.0,39.0,2022-12-05,0,True,False,41.0,11.232876712328768,Low
5.60797e+17,Modern industrial carriage house,28027650.0,Trish,78722,30.28254,-97.71281,Entire home/apt,129.0,2.0,29.0,2022-11-13,3.09,2.0,254.0,29.0,2022-11-13,6,False,True,111.0,30.41095890410959,Low
5.60966e+17,"Perfect Family Vacation Spot, Minutes From DT!",95346177.0,Alisia,78704,30.26107,-97.76175,Entire home/apt,1100.0,1.0,4.0,2022-07-31,0.44,3.0,30.0,4.0,2022-07-31,6,False,True,335.0,91.78082191780823,High
5.52376e+17,Amazing Waterfront Home on Lake Austin!,114174610.0,Meredith,78733,30.35374,-97.86142,Entire home/apt,850.0,3.0,1.0,2022-05-22,0.14,4.0,238.0,1.0,2022-05-22,6,False,True,127.0,34.794520547945204,Medium
5.60982e+17,"Colorful getaway in ATX w/hot tub, fire pit & deck",57909566.0,Melita,78744,30.16101,-97.7812,Entire home/apt,332.0,3.0,7.0,2022-08-07,1.08,1.0,26.0,7.0,2022-08-07,6,False,True,339.0,92.87671232876711,High
5.61005e+17,"Sunny, modern 3BD home in hip East Austin",355547.0,Silva,78721,30.2827,-97.67836,Entire home/apt,200.0,2.0,0.0,2022-11-13,1.603915943353132,1.0,194.0,0.0,2022-11-13,6,False,True,171.0,46.849315068493155,Medium
5.48037e+17,The Ultimate Austin Experience,142258933.0,Rachel,78704,30.25898,-97.75485,Entire home/apt,1331.0,3.0,26.0,2022-12-14,3.53,1.0,230.0,26.0,2022-12-14,2,True,False,135.0,36.986301369863014,Medium
5.52407e+17,Studio in Austin's walkable east side,21182443.0,Ari,78702,30.25685,-97.72258,Entire home/apt,150.0,1.0,1.0,2022-10-23,0.56,1.0,289.0,1.0,2022-10-23,6,False,True,76.0,20.82191780821918,Low
5.48042e+17,Cheerfull 4bedroom 2.5 bath located in Austin,154050561.0,Maureen,78748,30.1595,-97.83872,Entire home/apt,300.0,3.0,1.0,2022-10-24,0.57,2.0,365.0,1.0,2022-10-24,0,True,False,0.0,0.0,Low
5.61028e+17,Modern Home 1 mile from downtown in hip East ATX,22456135.0,Chris,78702,30.27671,-97.71916,Entire home/apt,895.0,3.0,5.0,2022-10-24,0.51,1.0,354.0,5.0,2022-10-24,0,True,False,11.0,3.0136986301369864,Low
5.52454e+17,Good Vibes Only: 8min walk to SoCo + Free parking,126123811.0,Christy,78704,30.24982,-97.7454,Entire home/apt,136.0,1.0,32.0,2022-11-27,3.14,1.0,178.0,32.0,2022-11-27,6,False,True,187.0,51.23287671232877,Medium
5.61057e+17,Lake Travis Waterfront 2 story lake house. Lakeway,211585754.0,Greg,78734,30.38926,-97.96241,Entire home/apt,328.0,2.0,3.0,2022-07-04,0.43,2.0,358.0,3.0,2022-07-04,0,True,False,7.0,1.9178082191780823,Low
5.4829e+17,Entire newly renovated residential home,442186201.0,Bryan,78758,30.3626,-97.71191,Entire home/apt,279.0,4.0,11.0,2022-06-24,1.17,1.0,0.0,11.0,2022-06-24,4,True,False,365.0,100.0,High
5.52473e+17,Domain flat w/easy parking + w/d in unit & more!,434375839.0,Tessa,78758,30.40321,-97.7212,Entire home/apt,63.0,10.0,23.0,2022-11-14,2.22,11.0,32.0,23.0,2022-11-14,0,True,False,333.0,91.23287671232877,High
5.6108e+17,South Lamar Beautiful One bedroom Condo,84500330.0,Megan,78704,30.24724,-97.77115,Entire home/apt,200.0,30.0,0.0,2022-11-13,1.603915943353132,1.0,0.0,0.0,2022-11-13,6,False,True,365.0,100.0,High
5.52602e+17,Modern Apartment in Prime Location (ID5207X82),263502162.0,Landing,78732,30.38657,-97.88601,Entire home/apt,136.0,30.0,0.0,2022-11-13,1.603915943353132,150.0,363.0,0.0,2022-11-13,6,False,True,2.0,0.547945205479452,Low
5.61095e+17,DTWN Austin 1 or 2 BDRM  **MUST MSG ME B4 BOOKING,21542226.0,Elise,78701,30.27055,-97.7469,Private room,334.0,3.0,20.0,2022-11-13,2.4,2.0,86.0,20.0,2022-11-13,6,False,True,279.0,76.43835616438356,Medium
5.61424e+17,"King Suite, Family Friendly & Outdoor Pool Table",439106190.0,Crystal & Lee,78735,30.23802,-97.85456,Entire home/apt,124.0,1.0,18.0,2022-12-11,4.95,2.0,159.0,18.0,2022-12-11,6,False,True,206.0,56.43835616438356,Medium
5.61514e+17,Luxurious 4-bedroom home with game room & backyard,232683719.0,Jahnavi,78744,30.14152,-97.71753,Entire home/apt,399.0,3.0,13.0,2022-12-10,5.06,1.0,358.0,13.0,2022-12-10,5,False,True,7.0,1.9178082191780823,Low
5.48317e+17,Lakefront on Lake Travis,373042041.0,RedAwning,78732,30.3925,-97.8909,Entire home/apt,334.0,1.0,14.0,2022-11-07,1.55,1.0,335.0,14.0,2022-11-07,0,True,False,30.0,8.21917808219178,Low
5.48585e+17,Lake Travis Home,12387534.0,Elizabeth,78734,30.356,-97.973,Entire home/apt,1421.0,2.0,11.0,2022-10-23,1.1,1.0,260.0,11.0,2022-10-23,6,False,True,105.0,28.767123287671232,Low
5.4863e+17,Cheerful private bedroom/office in a BIG home,331886.0,Daniel,78744,30.15973397,-97.78150441,Private room,45.0,1.0,10.0,2022-11-15,1.6,3.0,180.0,10.0,2022-11-15,1,True,False,185.0,50.68493150684932,Medium
5.52757e+17,🌱  Charming ATX Home | Plush | Close to Domain,343836805.0,Juno,78758,30.35713,-97.70843,Entire home/apt,117.0,2.0,31.0,2022-10-16,3.04,30.0,180.0,31.0,2022-10-16,6,False,True,185.0,50.68493150684932,Medium
5.52776e+17,Chic 3 Bedroom House w/Huge Outdoor Living Space,3893277.0,The Dolphin House,78704,30.23675,-97.77779,Entire home/apt,190.0,3.0,14.0,2022-11-25,1.48,2.0,64.0,14.0,2022-11-25,4,True,False,301.0,82.46575342465754,Medium
5.48679e+17,Holly Hideaway | Spacious & Centrally Located to Austin Fun,396784850.0,Grand Welcome,78702,30.25203,-97.7206,Entire home/apt,349.0,1.0,11.0,2022-11-13,1.19,17.0,331.0,11.0,2022-11-13,6,False,True,34.0,9.315068493150685,Low
5.61579e+17,Spacious 3-bedroom in East Austin,101632676.0,Ella,78741,30.2357,-97.71948,Entire home/apt,350.0,3.0,0.0,2022-11-13,1.603915943353132,1.0,0.0,0.0,2022-11-13,6,False,True,365.0,100.0,High
5.52802e+17,Fun For the Whole Family - Easy Access to Downtown,326151129.0,Austin - Austin Vacay,78703,30.30047,-97.75681,Entire home/apt,245.0,1.0,36.0,2022-11-28,3.48,3.0,311.0,36.0,2022-11-28,0,True,False,54.0,14.794520547945206,Low
5.61591e+17,Modern E. Austin 3BDR2BH House with Deck,444930649.0,Richard,78721,30.27593,-97.69763,Entire home/apt,112.0,2.0,19.0,2022-12-11,3.61,1.0,142.0,19.0,2022-12-11,6,False,True,223.0,61.09589041095891,Medium
5.61592e+17,"Stunning Lake Travis Lux Oasis, private estate!",181159894.0,David,78734,30.40209,-97.92014,Entire home/apt,3613.0,3.0,1.0,2022-07-31,0.22,5.0,16.0,1.0,2022-07-31,6,False,True,349.0,95.61643835616438,High
5.61665e+17,Light-Filled East ATX Gem,396938601.0,Jacob,78722,30.2896,-97.72011,Entire home/apt,247.0,2.0,21.0,2022-11-26,2.27,4.0,69.0,21.0,2022-11-26,5,False,True,296.0,81.0958904109589,Medium
5.48749e+17,Coyote cabin in 3 acre tiny home resort with pool!,260440308.0,Keele,78737,30.209299,-97.95118,Entire home/apt,166.0,2.0,15.0,2022-10-25,1.7,13.0,355.0,15.0,2022-10-25,1,True,False,10.0,2.73972602739726,Low
5.48752e+17,Bobcat cabin in 3 acre tiny home resort with pool!,260440308.0,Keele,78737,30.209299,-97.95118,Entire home/apt,107.0,2.0,24.0,2022-12-06,2.96,13.0,336.0,24.0,2022-12-06,1,True,False,29.0,7.9452054794520555,Low
5.48815e+17,"Luxury Pool View, 2x King Beds, 65’’TV & Food",23531393.0,John,78748,30.13829,-97.7981,Entire home/apt,115.0,1.0,42.0,2022-11-18,4.12,1.0,347.0,42.0,2022-11-18,4,True,False,18.0,4.931506849315069,Low
5.52838e+17,Prime Location! Lovely 1 bedroom with a pool,3911149.0,Matthew,78704,30.24296,-97.75358,Private room,64.0,30.0,0.0,2022-11-13,1.603915943353132,2.0,364.0,0.0,2022-11-13,6,False,True,1.0,0.273972602739726,Low
5.49112e+17,ATX Getaway Just 15' from Downtown,19922218.0,Alyssa,78749,30.22499,-97.85464,Entire home/apt,400.0,2.0,2.0,2022-06-13,0.28,2.0,288.0,2.0,2022-06-13,0,True,False,77.0,21.095890410958905,Low
5.49168e+17,Private Room in East Austin,438915596.0,June,78702,30.27871,-97.7158,Private room,38.0,30.0,0.0,2022-11-13,1.603915943353132,107.0,348.0,0.0,2022-11-13,6,False,True,17.0,4.657534246575342,Low
5.61718e+17,UltraModern Chic Guesthouse - Middle of EVERYTHING,4912146.0,Paul,78705,30.29716,-97.74667,Entire home/apt,121.0,2.0,21.0,2022-11-15,2.17,24.0,229.0,21.0,2022-11-15,1,True,False,136.0,37.26027397260274,Medium
5.52863e+17,Downtown Austin | One-Bedroom Apartment w/Balcony,433373025.0,Moore Stays,78702,30.25337,-97.73092,Entire home/apt,110.0,6.0,40.0,2022-12-08,4.78,3.0,325.0,40.0,2022-12-08,3,True,False,40.0,10.95890410958904,Low
5.62038e+17,SoCo Village: Lux Comfy Spacious Patios Deck Yard,1342023.0,Rachel,78704,30.23964,-97.75002,Entire home/apt,1036.0,5.0,1.0,2022-03-30,0.11,3.0,348.0,1.0,2022-03-30,2,True,False,17.0,4.657534246575342,Low
5.53021e+17,🌱 The Adrian | East ATX Casita | Kitchenette,343836805.0,Juno,78702,30.26711,-97.71991,Entire home/apt,95.0,2.0,62.0,2022-11-20,6.12,30.0,167.0,62.0,2022-11-20,6,False,True,198.0,54.24657534246575,Medium
5.4922e+17,"Ground-floor home with foosball table, washer/dryer, AC, enclosed patio & WiFi",26497220.0,Vacasa Texas,78725,30.23195,-97.58497,Entire home/apt,352.0,2.0,8.0,2022-12-11,1.11,19.0,362.0,8.0,2022-12-11,6,False,True,3.0,0.821917808219178,Low
5.49247e+17,Host A Great Family Dinner Pool Yard Full Kitchen,285295166.0,Ames - Austin Vacay,78731,30.34034,-97.76106,Entire home/apt,311.0,2.0,36.0,2022-10-10,3.65,1.0,355.0,36.0,2022-10-10,0,True,False,10.0,2.73972602739726,Low
5.53055e+17,Beautiful 3BR Home South of The Domain!,405338424.0,Sam,78757,30.34822,-97.71824,Entire home/apt,140.0,30.0,4.0,2022-09-29,0.47,1.0,289.0,4.0,2022-09-29,3,True,False,76.0,20.82191780821918,Low
5.62194e+17,Charming 3 Bedroom Home w/ terrific outdoor space,445044234.0,Harrison,78724,30.28061,-97.64434,Entire home/apt,95.0,3.0,9.0,2022-11-06,2.11,1.0,66.0,9.0,2022-11-06,6,False,True,299.0,81.91780821917808,Medium
5.62217e+17,Zilker 78704 -  Walk to Barton Springs & Park,84882426.0,Kevin,78704,30.25127792,-97.77365112,Entire home/apt,227.0,2.0,7.0,2022-10-17,0.74,5.0,32.0,7.0,2022-10-17,0,True,False,333.0,91.23287671232877,High
5.53072e+17,1.5 bathroom master bedroom shared house space.,423032012.0,Mr. Love,78728,30.47062,-97.68118,Entire home/apt,129.0,1.0,2.0,2022-10-23,0.23,1.0,365.0,2.0,2022-10-23,6,False,True,0.0,0.0,Low
5.62235e+17,Locale | Modern studio apartment on SoCo,2370669.0,Locale,78704,30.25515,-97.74677,Entire home/apt,91.0,1.0,14.0,2022-12-05,3.02,9.0,68.0,14.0,2022-12-05,0,True,False,297.0,81.36986301369863,Medium
5.49435e+17,Pool table|Pet friendly|4BR|2.5BA|Close to Tesla giga factory,210423516.0,Kart,78725,30.23419,-97.59211,Entire home/apt,124.0,1.0,21.0,2022-12-08,2.05,1.0,4.0,21.0,2022-12-08,3,True,False,361.0,98.9041095890411,High
5.53323e+17,"Sunny 1BR walk to lake, parks, and downtown",107434423.0,Blueground,78704,30.2594354,-97.7489394,Entire home/apt,139.0,31.0,1.0,2022-04-20,0.13,129.0,301.0,1.0,2022-04-20,2,True,False,64.0,17.534246575342465,Low
5.62335e+17,Cozy Bedroom in Quiet South Austin Neighborhood,38558598.0,Alena,78747,30.15624,-97.74165,Private room,56.0,1.0,23.0,2022-10-25,2.28,2.0,89.0,23.0,2022-10-25,1,True,False,276.0,75.61643835616438,Medium
5.53528e+17,"Modern house 5 miles from DT, 6th street & Rainey!",78718317.0,Izzat,78741,30.22569,-97.69606,Entire home/apt,946.0,2.0,3.0,2022-05-08,0.3,1.0,364.0,3.0,2022-05-08,6,False,True,1.0,0.273972602739726,Low
5.62362e+17,Walk to South Congress/beautiful back porch,837129.0,Christina,78704,30.23715,-97.75702,Entire home/apt,199.0,3.0,8.0,2022-10-23,1.06,1.0,213.0,8.0,2022-10-23,6,False,True,152.0,41.64383561643836,Medium
5.65061e+17,Long-term stay: Centrally Location Studio Apt,109644337.0,Clare,78741,30.23842,-97.72089,Entire home/apt,100.0,30.0,2.0,2022-03-27,0.22,2.0,69.0,2.0,2022-03-27,6,False,True,296.0,81.0958904109589,Medium
5.53582e+17,Expansive Luxury Escape | Pool,155249121.0,Jay,78721,30.26399,-97.68808,Entire home/apt,798.0,1.0,12.0,2022-11-26,1.22,3.0,325.0,12.0,2022-11-26,5,False,True,40.0,10.95890410958904,Low
5.65079e+17,Cheerful 3 bedroom 2 bath house. Great Location!,27078532.0,Lulu,78727,30.4321,-97.72996,Entire home/apt,270.0,1.0,11.0,2022-10-24,1.13,1.0,288.0,11.0,2022-10-24,0,True,False,77.0,21.095890410958905,Low
5.65098e+17,1/1 Domain Space w/washer+dryer in unit and more,434375839.0,Tessa,78758,30.39689,-97.71838,Entire home/apt,64.0,10.0,11.0,2022-11-01,1.12,11.0,73.0,11.0,2022-11-01,1,True,False,292.0,80.0,Medium
5.6512e+17,Cheerful 5-bedroom home close to downtown Austin.,293839429.0,Eddy,78741,30.21979,-97.73733,Entire home/apt,318.0,2.0,19.0,2022-10-23,1.91,1.0,90.0,19.0,2022-10-23,6,False,True,275.0,75.34246575342466,Medium
5.62363e+17,Ponderosa Home| 15 Minutes to Downtown ATX!,57019420.0,Suzanne,78723,30.30662346,-97.66567993,Entire home/apt,134.0,2.0,23.0,2022-12-04,2.52,1.0,79.0,23.0,2022-12-04,6,False,True,286.0,78.35616438356165,Medium
5.53603e+17,Casa in South Austin,56250512.0,Elisa,78744,30.16287,-97.7841,Entire home/apt,127.0,1.0,47.0,2022-11-25,4.75,1.0,35.0,47.0,2022-11-25,4,True,False,330.0,90.41095890410958,High
5.62614e+17,"Simple, Clean, Modern in the heart of East Austin",118101778.0,Keri,78721,30.28257,-97.69021,Entire home/apt,177.0,2.0,30.0,2022-11-07,3.24,4.0,40.0,30.0,2022-11-07,0,True,False,325.0,89.04109589041096,High
5.6274e+17,Landing | Modern Apartment with Amazing Amenities (ID815374),263502162.0,Landing,78728,30.46656,-97.68534,Entire home/apt,227.0,30.0,0.0,2022-11-13,1.603915943353132,150.0,195.0,0.0,2022-11-13,6,False,True,170.0,46.57534246575342,Medium
5.65331e+17,Pecan Pad - Walk to West 6th Street!!,118565935.0,Renters Club,78703,30.27151,-97.75571,Entire home/apt,154.0,1.0,9.0,2022-10-10,1.05,75.0,364.0,9.0,2022-10-10,0,True,False,1.0,0.273972602739726,Low
5.53611e+17,Austin's Cowboy Retreat,271692271.0,Nico,78744,30.18625,-97.74808,Entire home/apt,134.0,1.0,24.0,2022-11-14,2.35,2.0,170.0,24.0,2022-11-14,0,True,False,195.0,53.42465753424658,Medium
5.6546e+17,SXSW Awesome Rental all new linen and furniture!,334244040.0,Roberta,78758,30.41097,-97.69171,Entire home/apt,250.0,10.0,0.0,2022-11-13,1.603915943353132,1.0,365.0,0.0,2022-11-13,6,False,True,0.0,0.0,Low
5.65483e+17,Your Jungle Sanctuary Minutes from Downtown Austin,3199186.0,Andrew,78702,30.2585,-97.7168,Entire home/apt,172.0,3.0,20.0,2022-12-05,2.12,1.0,69.0,20.0,2022-12-05,0,True,False,296.0,81.0958904109589,Medium
